	00A1	00A7	00B6	00B7	00BF	2016	2020	2021	2022	2024	2025	2026	2027	2030	2032	2033	2035	203B	203C	203E	2047	2048	2049	3001	3002	3003	303D	30FB	FE45	FE46	FE49	FE4A	FE4B	FE4C	FF01	FF02	FF03	FF05	FF06	FF07	FF0A	FF0C	FF0E	FF0F	FF1A	FF1B	FF1F	FF20	FF3C	16FE2
print	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Quotation_Mark																																				Yes				Yes										
Script	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common
Script_Extensions	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	"Bopomofo	Han	Hangul	Hiragana	Katakana	Yi"	"Bopomofo	Han	Hangul	Hiragana	Katakana	Yi"	"Bopomofo	Han	Hangul	Hiragana	Katakana"	"Han	Hiragana	Katakana"	"Bopomofo	Han	Hangul	Hiragana	Katakana	Yi"	"Bopomofo	Han	Hangul	Hiragana	Katakana"	"Bopomofo	Han	Hangul	Hiragana	Katakana"	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common	Common
Sentence_Break										ATerm									STerm		STerm	STerm	STerm	SContinue	STerm										STerm							SContinue	ATerm		SContinue		STerm			
Sentence_Terminal																			Yes		Yes	Yes	Yes		Yes										Yes								Yes				Yes			
subhead	Latin-1 punctuation and symbols	Latin-1 punctuation and symbols	Latin-1 punctuation and symbols	Latin-1 punctuation and symbols	Punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	General punctuation	Double punctuation for vertical text	General punctuation	Double punctuation for vertical text	Double punctuation for vertical text	Double punctuation for vertical text	CJK symbols and punctuation	CJK symbols and punctuation	CJK symbols and punctuation	CJK punctuation	Conjunction and length marks	Sidelining emphasis marks	Sidelining emphasis marks	Overscores and underscores	Overscores and underscores	Overscores and underscores	Overscores and underscores	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Fullwidth ASCII variants	Marks used in ancient Chinese texts
Terminal_Punctuation																			Yes		Yes	Yes	Yes	Yes	Yes										Yes							Yes	Yes		Yes	Yes	Yes			
toIdna2003	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	′′	null	null	null	null	null	null	null	null	.	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	.	null	null	null	null	null	null	null
toNFKC										.	..	...				′′			!!,̅	??	?!	!?							,̅,̅,̅,̅	!	""""	#	%	&	'	*	"	"	.	/	:	;	?	@	\	
toNFKD										.	..	...				′′			!!,̅	??	?!	!?							,̅,̅,̅,̅	!	""""	#	%	&	'	*	"	"	.	/	:	;	?	@	\	
toNFM																																			!	""""	#	%	&	'	*	"	"	.	/	:	;	?	@	\	
toUts46n	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	′′	null	null	null	null	null	null	null	null	.	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	.	null	null	null	null	null	null	null
toUts46t	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	′′	null	null	null	null	null	null	null	null	.	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	.	null	null	null	null	null	null	null
uca	075C	0A72	0A76	091A	764	0A66	0AA2	0AA4	0AAE	8	08 08	08 08 08	0AB2	0A9A	0ABA	0ABA 0ABA	0ABC	0AC4	0D7C18	508	0762 0762	0762 075A	0D7C19	722	918	0ABE	0D7C14	530	724	726	508	508	508	508	075A	978	0A94	0A96	0A90	096A	0A80	6	8	0A8A	736	072A	762	0A7E	0A8C	728
uca2	5	5	5	5	5	5	5	5	5	5	05 05	05 05 05	5	5	5	05 05	5	5	5	5	05 05	05 05	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
uca2.5	1	1	1	1	1	1	1	1	1	1	01 01	01 01 01	1	1	1	01 01	1	1	1	1	01 01	01 01	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
uca3	5	5	5	5	5	5	5	5	5	18	18 18	18 18 18	5	5	5	20 20	5	5	5	5	1B 1B	1B 18	5	5	5	5	5	5	5	5	20	20	20	20	10	20	20	20	20	20	20	10	10	20	10	10	10	20	20	5
Unicode_1_Name	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
uts46	valid	valid	valid	valid	valid	valid	valid	valid	valid				valid	valid	valid	mapped	valid	valid						valid	mapped	valid	valid	valid	valid	valid													mapped							valid
Vertical_Orientation		Upright				Upright	Upright	Upright						Upright				Upright	Upright		Upright	Upright	Upright	Transformed_Upright	Transformed_Upright	Upright	Upright	Upright	Upright	Upright					Transformed_Upright	Upright	Upright	Upright	Upright	Upright	Upright	Transformed_Upright	Transformed_Upright	Upright	Transformed_Rotated	Transformed_Rotated	Transformed_Upright	Upright	Upright	Upright
Word_Break				Mid_Letter						Mid_Num_Let			Mid_Letter																											Mid_Num_Let		Mid_Num	Mid_Num_Let		Mid_Letter	Mid_Num				
XID_Continue				Yes																																														
